order_id,creation_time,product_ids
1255,2022-08-26 00:00:19.000000,"{75, 22, 53, 84}"
1256,2022-08-26 00:02:21.000000,"{56, 76, 39}"
1257,2022-08-26 00:02:27.000000,"{76, 34, 41, 38}"
1258,2022-08-26 00:02:56.000000,"{74, 6}"
1259,2022-08-26 00:03:37.000000,"{20, 45, 67, 26}"
1261,2022-08-26 00:05:35.000000,"{30, 35, 69, 6}"
1262,2022-08-26 00:06:25.000000,"{23, 69, 45, 33}"
1263,2022-08-26 00:08:22.000000,"{22, 23, 5}"
1264,2022-08-26 00:10:53.000000,"{60, 5, 33, 69}"
1265,2022-08-26 00:11:21.000000,"{19, 35, 74, 42, 25}"
1266,2022-08-26 00:12:00.000000,"{54, 39}"
1267,2022-08-26 00:12:29.000000,"{78, 56, 80, 65}"
1268,2022-08-26 00:12:41.000000,"{26, 47, 16, 3}"
1269,2022-08-26 00:12:58.000000,"{40, 67, 70, 67, 57, 61}"
1270,2022-08-26 00:16:29.000000,"{35, 25, 5}"
1271,2022-08-26 00:16:57.000000,"{46, 21}"
1272,2022-08-26 00:18:28.000000,"{46, 86, 69, 57, 64}"
1273,2022-08-26 00:18:54.000000,"{52, 17, 71}"
1274,2022-08-26 00:19:45.000000,"{77, 47, 67, 30}"
1275,2022-08-26 00:19:46.000000,"{27, 5, 33, 7, 65}"
1276,2022-08-26 00:20:11.000000,"{30, 16, 8}"
1277,2022-08-26 00:21:33.000000,"{24, 23, 6, 36}"
1280,2022-08-26 00:25:35.000000,"{8, 40}"
1283,2022-08-26 00:27:21.000000,"{84, 67, 60, 52}"
1284,2022-08-26 00:29:54.000000,"{58, 15, 57, 63, 67}"
1285,2022-08-26 00:30:28.000000,"{65, 57, 23}"
1286,2022-08-26 00:30:37.000000,{58}
1287,2022-08-26 00:31:36.000000,"{83, 75}"
1288,2022-08-26 00:31:50.000000,"{34, 40, 71}"
1289,2022-08-26 00:32:05.000000,"{79, 31, 65, 18, 48}"
1290,2022-08-26 00:36:44.000000,"{68, 54, 3}"
1291,2022-08-26 00:36:49.000000,"{1, 67, 2}"
1293,2022-08-26 00:37:46.000000,"{17, 17, 56, 71}"
1294,2022-08-26 00:37:50.000000,"{80, 56, 32, 70, 79}"
1295,2022-08-26 00:38:23.000000,"{34, 66, 34}"
1296,2022-08-26 00:39:26.000000,"{35, 70, 66}"
1297,2022-08-26 00:42:58.000000,"{54, 32, 15}"
1298,2022-08-26 00:43:47.000000,"{1, 53, 46}"
1300,2022-08-26 00:45:45.000000,{17}
1301,2022-08-26 00:46:21.000000,"{35, 81, 25, 66}"
1302,2022-08-26 00:46:48.000000,"{20, 52, 30}"
1304,2022-08-26 00:47:08.000000,"{79, 77, 6, 68}"
1305,2022-08-26 00:47:11.000000,"{45, 24, 71}"
1306,2022-08-26 00:47:53.000000,{10}
1307,2022-08-26 00:48:09.000000,"{77, 67, 32, 35, 26}"
1308,2022-08-26 00:51:54.000000,"{15, 32, 61, 30}"
1309,2022-08-26 00:52:48.000000,"{2, 84, 33}"
1311,2022-08-26 00:53:03.000000,"{63, 32}"
1310,2022-08-26 00:53:03.000000,"{56, 31, 63}"
1313,2022-08-26 00:56:24.000000,"{76, 71, 48}"
1314,2022-08-26 00:56:47.000000,"{23, 56}"
1315,2022-08-26 00:58:59.000000,"{40, 1}"
1316,2022-08-26 00:59:12.000000,"{34, 71, 41}"
1317,2022-08-26 01:00:48.000000,{71}
1319,2022-08-26 01:03:01.000000,"{40, 38}"
1320,2022-08-26 01:03:27.000000,"{66, 20}"
1322,2022-08-26 01:07:07.000000,"{58, 76, 79, 71}"
1323,2022-08-26 01:07:41.000000,"{28, 61, 27, 24}"
1324,2022-08-26 01:08:54.000000,"{41, 34, 47, 79}"
1325,2022-08-26 01:09:44.000000,"{74, 12, 48, 30}"
1326,2022-08-26 01:10:08.000000,"{25, 41, 34, 62, 35}"
1327,2022-08-26 01:12:10.000000,"{2, 3, 8, 74}"
1328,2022-08-26 01:13:07.000000,"{30, 17, 57}"
1329,2022-08-26 01:15:20.000000,"{40, 9, 67}"
1330,2022-08-26 01:15:23.000000,{76}
1331,2022-08-26 01:16:51.000000,"{63, 35, 46}"
1332,2022-08-26 01:20:05.000000,"{3, 1}"
1334,2022-08-26 01:21:20.000000,"{46, 65, 31}"
1335,2022-08-26 01:21:48.000000,{46}
1338,2022-08-26 01:24:03.000000,"{5, 67, 74, 67}"
1339,2022-08-26 01:24:04.000000,"{62, 47}"
1340,2022-08-26 01:24:04.000000,"{42, 51, 76, 69, 74}"
1341,2022-08-26 01:27:12.000000,"{46, 72, 66, 39, 17, 20}"
1342,2022-08-26 01:27:24.000000,"{77, 25, 2}"
1343,2022-08-26 01:33:29.000000,"{22, 34}"
1344,2022-08-26 01:34:05.000000,"{77, 57, 35}"
1345,2022-08-26 01:38:15.000000,"{77, 67}"
1346,2022-08-26 01:42:24.000000,"{17, 26, 2, 54, 26, 5, 56}"
1347,2022-08-26 01:42:40.000000,"{28, 76, 76, 5}"
1348,2022-08-26 01:42:55.000000,"{25, 7, 78}"
1352,2022-08-26 01:48:56.000000,"{3, 65, 6, 66, 36}"
1353,2022-08-26 01:48:57.000000,"{46, 57, 5, 16}"
1354,2022-08-26 01:49:05.000000,"{8, 41, 9}"
1355,2022-08-26 01:54:37.000000,"{54, 2, 26, 87, 7}"
1357,2022-08-26 01:56:51.000000,"{15, 24, 64, 80, 74}"
1359,2022-08-26 01:59:08.000000,"{83, 24, 80, 65}"
1360,2022-08-26 01:59:33.000000,"{7, 20}"
1361,2022-08-26 01:59:42.000000,"{63, 37}"
1362,2022-08-26 02:01:15.000000,"{63, 33, 76}"
1363,2022-08-26 02:01:47.000000,"{74, 64, 3}"
1364,2022-08-26 02:03:46.000000,"{38, 25, 76}"
1365,2022-08-26 02:04:00.000000,"{71, 15, 15, 14}"
1366,2022-08-26 02:04:25.000000,"{9, 70, 28, 55}"
1367,2022-08-26 02:05:32.000000,{31}
1368,2022-08-26 02:07:07.000000,"{30, 46, 85}"
1369,2022-08-26 02:08:00.000000,"{71, 23, 68, 52}"
1370,2022-08-26 02:08:29.000000,"{87, 77, 85, 65, 54}"
1371,2022-08-26 02:12:42.000000,"{50, 47}"
1372,2022-08-26 02:12:56.000000,"{65, 48, 10}"
1373,2022-08-26 02:14:53.000000,"{71, 32, 60, 77, 60}"
1374,2022-08-26 02:17:23.000000,"{52, 54, 32, 46}"
1375,2022-08-26 02:17:43.000000,"{72, 19, 15, 6}"
1377,2022-08-26 02:20:27.000000,"{78, 70, 76, 67}"
1379,2022-08-26 02:23:54.000000,"{25, 84, 38}"
1380,2022-08-26 02:25:10.000000,"{21, 55, 69}"
1381,2022-08-26 02:26:07.000000,{25}
1382,2022-08-26 02:27:15.000000,"{50, 29, 53, 76}"
1384,2022-08-26 02:31:11.000000,"{7, 6, 39, 8}"
1385,2022-08-26 02:32:40.000000,"{15, 19, 70, 24}"
1386,2022-08-26 02:36:39.000000,"{59, 66, 78}"
1387,2022-08-26 02:39:41.000000,"{39, 68}"
1388,2022-08-26 02:41:01.000000,"{72, 83}"
1389,2022-08-26 02:42:30.000000,"{74, 74}"
1391,2022-08-26 02:48:27.000000,"{26, 15, 40, 30}"
1393,2022-08-26 02:51:08.000000,"{79, 35, 8, 40, 26}"
1395,2022-08-26 02:55:07.000000,"{24, 25, 54, 26}"
1397,2022-08-26 02:56:27.000000,"{44, 74, 77, 6, 3}"
1398,2022-08-26 02:57:05.000000,"{41, 24, 32}"
1399,2022-08-26 02:57:29.000000,"{31, 17, 28}"
1400,2022-08-26 02:58:29.000000,"{17, 35, 24, 55}"
1401,2022-08-26 02:59:29.000000,"{42, 84, 20, 83}"
1402,2022-08-26 03:01:35.000000,"{18, 41, 24}"
1403,2022-08-26 03:01:40.000000,"{75, 50, 2, 83, 67, 30}"
1406,2022-08-26 03:05:54.000000,"{39, 77, 25, 33, 63}"
1407,2022-08-26 03:07:21.000000,"{34, 29, 40, 70, 29}"
1408,2022-08-26 03:08:53.000000,"{48, 37}"
1409,2022-08-26 03:10:27.000000,"{1, 47}"
1410,2022-08-26 03:15:01.000000,"{70, 20, 77, 45, 33, 71}"
1411,2022-08-26 03:17:19.000000,"{71, 62, 40, 70}"
1412,2022-08-26 03:24:50.000000,{9}
1413,2022-08-26 03:29:51.000000,{23}
1414,2022-08-26 03:30:13.000000,"{45, 29, 56, 31}"
1415,2022-08-26 03:31:22.000000,"{9, 62, 30}"
1416,2022-08-26 03:33:01.000000,"{53, 38, 64}"
1417,2022-08-26 03:33:28.000000,"{41, 50}"
1418,2022-08-26 03:33:56.000000,"{29, 43}"
1419,2022-08-26 03:47:32.000000,"{16, 14, 30, 83}"
1420,2022-08-26 03:50:54.000000,"{72, 63, 35, 84, 32, 87}"
1422,2022-08-26 03:54:34.000000,"{38, 28, 17, 25}"
1424,2022-08-26 04:01:22.000000,"{75, 29, 5, 2, 50, 62}"
1425,2022-08-26 04:06:56.000000,"{76, 20, 38, 42, 34, 71}"
1427,2022-08-26 04:09:18.000000,"{85, 39}"
1428,2022-08-26 04:12:43.000000,"{6, 1}"
1429,2022-08-26 04:16:22.000000,"{74, 54, 2}"
1430,2022-08-26 04:18:23.000000,"{5, 74, 54}"
1431,2022-08-26 04:19:41.000000,"{67, 40, 7}"
1432,2022-08-26 04:21:45.000000,"{81, 63, 68, 9}"
1433,2022-08-26 04:26:41.000000,"{66, 1, 76}"
1435,2022-08-26 04:32:04.000000,"{1, 80, 10, 31}"
1436,2022-08-26 04:33:56.000000,"{40, 41, 76}"
