product_id,name,price
1,сахар,150.0
2,чай зеленый в пакетиках,50.0
3,вода негазированная,80.4
4,леденцы,45.5
5,кофе 3 в 1,15.0
6,сухарики,25.0
7,кофе зерновой,350.8
8,сушки,30.4
9,чай черный листовой,83.5
10,семечки,12.0
11,масло льняное,200.0
12,виноград,278.3
13,икра,800.0
14,майонез,60.0
15,масло оливковое,450.0
16,арбуз,120.0
17,морс брусничный,190.0
18,кетчуп,58.0
19,рыба соленая,180.0
20,батон,50.0
21,кофе молотый,282.5
22,сок мультифрукт,120.0
23,йогурт,45.3
24,сок апельсиновый,120.4
25,кофе растворимый,150.0
26,чипсы,70.0
27,чай травяной листовой,120.6
28,сливки,75.3
29,морс черничный,170.0
30,энергетический напиток,140.0
31,гречка,67.4
32,овсянка,55.0
33,шоколад черный,60.0
34,макароны,98.0
35,лимонад,90.4
36,чайный гриб,250.8
37,баранина,559.3
38,апельсины,76.3
39,бублики,45.0
40,хлеб,40.0
41,вода газированная,80.4
42,горох,66.0
43,кофе без кофеина,400.0
44,мармелад,60.0
45,чай зеленый листовой,78.0
46,печенье,45.5
47,сметана,50.0
48,иван-чай в пакетиках,50.5
49,сухофрукты,55.0
50,чай холодный,35.0
51,рыба копченая,194.5
52,квас,76.3
53,мука,78.3
54,пакет бумажный,1.0
55,шпроты,150.0
56,сосиски,150.0
57,свинина,450.3
58,рис,70.0
59,масло кунжутное,250.0
60,шоколад белый,60.0
61,мед,380.0
62,сок яблочный,120.0
63,сгущенка,38.8
64,ананас,200.0
65,бананы,100.0
66,говядина,370.4
67,соль,30.0
68,рыба вяленая,115.5
69,морс клюквенный,175.3
70,масло подсолнечное,75.0
71,яблоки,75.4
72,груши,66.3
73,лепешка,15.4
74,молоко,60.0
75,сок ананасовый,120.0
76,чай черный в пакетиках,55.5
77,курица,298.4
78,кексы,70.0
79,чай травяной в пакетиках,64.9
80,жевательная резинка,50.0
81,уксус,30.0
82,лаваш,30.4
83,вафли,55.0
84,мандарины,90.4
85,варенье,200.3
86,кофе холодный,70.3
87,телятина,398.3
